player,row,col,board,result,elapsed_time,step
O,2,0,"[[None, None, None], [None, None, None], ['O', None, None]]",,0.000495,0
X,0,1,"[[None, 'X', None], [None, None, None], ['O', None, None]]",,2.160614,1
O,2,1,"[[None, 'X', None], [None, None, None], ['O', 'O', None]]",,2.161219,2
X,1,0,"[[None, 'X', None], ['X', None, None], ['O', 'O', None]]",,4.688408,3
O,2,2,"[[None, 'X', None], ['X', None, None], ['O', 'O', 'O']]",O,4.688908,4
X,0,1,"[[None, 'X', None], [None, None, None], [None, None, None]]",,5.335571,0
O,2,2,"[[None, 'X', None], [None, None, None], [None, None, 'O']]",,5.336254,1
X,1,0,"[[None, 'X', None], ['X', None, None], [None, None, 'O']]",,8.519689,2
O,0,2,"[[None, 'X', 'O'], ['X', None, None], [None, None, 'O']]",,8.520258,3
X,1,1,"[[None, 'X', 'O'], ['X', 'X', None], [None, None, 'O']]",,10.176116,4
O,2,1,"[[None, 'X', 'O'], ['X', 'X', None], [None, 'O', 'O']]",,10.176675,5
X,1,2,"[[None, 'X', 'O'], ['X', 'X', 'X'], [None, 'O', 'O']]",X,12.640125,6
O,1,1,"[[None, None, None], [None, 'O', None], [None, None, None]]",,0.000512,0
X,0,0,"[['X', None, None], [None, 'O', None], [None, None, None]]",,2.108393,1
O,1,0,"[['X', None, None], ['O', 'O', None], [None, None, None]]",,2.109015,2
X,2,1,"[['X', None, None], ['O', 'O', None], [None, 'X', None]]",,4.60329,3
O,0,2,"[['X', None, 'O'], ['O', 'O', None], [None, 'X', None]]",,4.603513,4
X,2,2,"[['X', None, 'O'], ['O', 'O', None], [None, 'X', 'X']]",,6.734653,5
O,0,1,"[['X', 'O', 'O'], ['O', 'O', None], [None, 'X', 'X']]",,6.735143,6
X,1,2,"[['X', 'O', 'O'], ['O', 'O', 'X'], [None, 'X', 'X']]",,8.975111,7
O,2,0,"[['X', 'O', 'O'], ['O', 'O', 'X'], ['O', 'X', 'X']]",O,8.975907,8
O,0,0,"[['O', None, None], [None, None, None], [None, None, None]]",,0.000506,0
X,1,0,"[['O', None, None], ['X', None, None], [None, None, None]]",,1.76,1
O,2,2,"[['O', None, None], ['X', None, None], [None, None, 'O']]",,1.760566,2
X,2,0,"[['O', None, None], ['X', None, None], ['X', None, 'O']]",,4.044969,3
O,2,1,"[['O', None, None], ['X', None, None], ['X', 'O', 'O']]",,4.045596,4
X,1,1,"[['O', None, None], ['X', 'X', None], ['X', 'O', 'O']]",,6.581294,5
O,1,2,"[['O', None, None], ['X', 'X', 'O'], ['X', 'O', 'O']]",,6.581839,6
X,0,2,"[['O', None, 'X'], ['X', 'X', 'O'], ['X', 'O', 'O']]",X,10.605827,7
O,2,0,"[[None, None, None], [None, None, None], ['O', None, None]]",,0.000441,0
X,0,0,"[['X', None, None], [None, None, None], ['O', None, None]]",,2.39229,1
O,1,2,"[['X', None, None], [None, None, 'O'], ['O', None, None]]",,2.392921,2
X,1,1,"[['X', None, None], [None, 'X', 'O'], ['O', None, None]]",,3.689243,3
O,2,2,"[['X', None, None], [None, 'X', 'O'], ['O', None, 'O']]",,3.689693,4
X,1,0,"[['X', None, None], ['X', 'X', 'O'], ['O', None, 'O']]",,6.128094,5
O,2,1,"[['X', None, None], ['X', 'X', 'O'], ['O', 'O', 'O']]",O,6.12875,6
